status,id_action_or_relation,subject,action_or_relation,action_or_relation_english,action_or_relation_middle_english,action_or_relation_synonyms,actant1_valency,actant1,actant2_valency,actant2,action_or_relation_type,subtype1,subtype2,subtype3,subtype4,parent_id,parent_label,parent_label_english,components_id,components_label,components_label_english,quasisynonym_id,quasisynonym_label,quasisynonym__label_english,related_entity_id,related_entity_label,related_entity_label_english,tags,dissidence_or_compliance_level,tie_value_subject_actant1,tie_value_subject_actant2,reciprocal_relation_actant1_subject_id,reciprocal_relation_actant1_subject,reciprocal_relation_actant1_subject_english,reciprocal_relation_actant2_subject_id,reciprocal_relation_actant2_subject,reciprocal_relation_actant2_subject_english,rule_time,rule_duration,rule_frequency,rule_location_where,rule_location_from,rule_location_to,rule_dissidence_level,rule_compliance_level,text_example,note,recommendation
approved,A0272,[] Person | [] Group,???,hired (from sb - st),,,,[] Person | [] Group,4,[] Object,interaction,flow,resources flow,hiring,hiring something,,#N/A,#N/A,NA,NA,NA,,#N/A,#N/A,,#VALUE!,#VALUE!,,not safely inferable,neutral,neutral,A0271,"""locavit""",rented (to sb - st),???,#N/A,#N/A,R,O,O,O,NA,NA,,,,,
approved,A0168,[] Person | [] Group,"""abiurationem recepit""",received abjuration (from sb - [concerning st]),,,"""a"" + 6 | 2",[] Person | [] Group,NULL | ???,NULL | [] Concept | [] Statement,interaction,trial,abjuration,receiving abjuration,,,#N/A,#N/A,C0076 #A0077,"abiuratio
#""recepit"" ","abjuration
#received (from sb - st)",,#N/A,#N/A,,#VALUE!,#VALUE!,,NA,exercise of power over sb,negative,A0018,"""abiuravit""",abjured (in front of sb - [st]),,#N/A,#N/A,1,NA,1,1,NA,NA,,,,,
approved,A0018,[] Person | [] Group,"""abiuravit""",abjured (in front of sb - [st]),,,"""coram"" + 6",[] Person | [] Group,NULL | 4 ,NULL | [] Concept | [] Statement,interaction,trial,abjuration,making abjuration,,,#N/A,#N/A,,#VALUE!,#VALUE!,A0215,"""revocavit""",retract (in front of sb - [st]),C0076,abiuratio,abjuration,,compliant,object of the exercise of power,,A0168,"""abiurationem recepit""",received abjuration (from sb - [concerning st]),,#N/A,#N/A,1,NA,1,1,NA,NA,,,,,
approved,A0214,[] Person | [] Group,"""absolutus/a fuit""",was absolved (by sb - [from some punishment]),,,"""per"" + 4",[] Person | [] Group,"NULL | ""de"" + 6",NULL | [] Concept | [] Statement,interaction,trial,absolution,receiving absolution,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,object of the exercise of power,neutral,A0213,"""absolvit""",absolved (sb - [from some punishment]),???,#N/A,#N/A,1,NA,1,1,NA,NA,,,,,
approved,A0213,[] Person | [] Group,"""absolvit""",absolved (sb - [from some punishment]),,,4,[] Person | [] Group,"NULL | ""de"" + 6",NULL | [] Concept | [] Statement,interaction,trial,absolution,giving absolution,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,exercise of power over sb,neutral,A0214,"""absolutus/a fuit""",was absolved (by sb - [from some punishment]),???,#N/A,#N/A,1,NA,1,1,NA,NA,,,,,
approved,A0019,[] Person | [] Group,"""accepit""",received (from sb - st),,,"""a"" + 6
",[] Person | [] Group,4,[] Object,interaction,transfer,receiving,,,,#N/A,#N/A,,#VALUE!,#VALUE!,A0077,"""recepit"" ",received (from sb - st),,#VALUE!,#VALUE!,,,,,,dedit,gave,,#N/A,#N/A,1,1,1,1,NA,NA,,,,,
approved,A0124,[] Person | [] Group,"""accusatus""",accused (by sb - [of st]),,,"""per"" + 4",[] Person | [] Group,"NULL | ""de"" + 6",NULL | [] Concept,interaction,trial,accusation,,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,object of the exercise of power,,,"""accusavit""",accused,NULL,NULL,NULL,1,NA,1,1,NA,NA,,,,,
approved,A0179,[] Text part,"""actum""",issued (by sb's authority),,,"""coram"" + 6",[] Person | [] Group,NULL,NULL,action,trial,issuing of document,,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,,,,,,NULL,NULL,NULL,1,NA,NA,1,NA,NA,,,"""Actum Mediolani ... coram suprascripto fratre Gui­done inquisitore""",,
approved,A0020,[] Person | [] Group,"""adamabat""",loved (sb),,,4,[] Person | [] Group,NULL,NULL,feeling,love,,,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,positive,,,"""amatus/a fuit""",was loved by,,#N/A,#N/A,1,1,NA,NA,NA,NA,,,,,
approved,A0138,[] Person | [] Group,"""adductus fuit""",was brought (by sb - before sb),,,"""per"" + 4
",[] Person | [] Group,"""coram"" + 6",[] Person | [] Group,interaction,trial,taking in for questioning,,,A0255,"""adductus fuit""",was brought (by sb - [to sb]),,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,object of the exercise of power,,A0139,"""adduxit""",brought (sb - before sb),A0121,"""comparuit""",appeared in court (before sb - [because of st]),1,NA,1,NA,1,1,,,"""vocati fuerunt et adducti coram nobis inquisitore prefato"" (GuiSent I, p. 854)",,
approved,A0255,[] Person | [] Group,"""adductus fuit""",was brought (by sb - [to sb]),,,"""per"" + 4
",[] Person | [] Group,"NULL | ""ad"" + 4",[] Person | [] Group,interaction,accompanying,companionship of voyage,being brought somewhere,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,neutral,neutral,A0256,"""adduxit""",brought (sb - [to sb]),NULL,#N/A,#N/A,O,O,O,NA,O,O,,,,,
approved,A0139,[] Person | [] Group,"""adduxit""",brought (sb - before sb),,,4,[] Person | [] Group,"""coram"" + 6",[] Person | [] Group,interaction,trial,taking in for questioning,,,A0256,"""adduxit""",brought (sb - [to sb]),,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,exercise of power over sb,,A0138,"""adductus fuit""",was brought (by sb - before sb),A0121,"""comparuit""",appeared in court (before sb - [because of st]),1,NA,1,NA,1,1,,,,,
approved,A0256,[] Person | [] Group,"""adduxit""",brought (sb - [to sb]),,,4,[] Person | [] Group,"NULL | ""ad"" + 4",[] Person | [] Group,interaction,accompanying,companionship of voyage,bringing somebody somewhere,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,neutral,neutral,A0255,"""adductus fuit""",was brought (by sb - [to sb]),NULL,#N/A,#N/A,O,O,O,NA,O,O,,,,,
approved,A0021,[] Person | [] Group,"""adoravit""",adored (sb),,,4,[] Person | [] Group,NULL,NULL,interaction,greeting,ritual,adoratio,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,,,,???,received adoration from,,#N/A,#N/A,R,O,O,R,NA,NA,,,,,
