,codeid,label,type,uuid
0,P0001,Ademarius Civada,PERSON,cd862ae7-a64f-4e14-95e1-de25e7c1f887
1,P0002,Ademarius de La Roca,PERSON,3b845706-d2cd-4fc4-ad75-c6ef37307694
2,P0003,Ademarius de Ladeumia,PERSON,6f619e6f-06a2-40f3-b1ac-8c05a1c2ca45
3,P0004,Ademarius Lanterii,PERSON,b73c5094-d75b-47fd-a4da-070a0cb8a025
4,P0005,Ademarus Ramundi,PERSON,b30025fe-4543-4c26-ba2e-d27cab42afbb
5,P0006,Agnes,PERSON,5b42f6d3-f12e-4390-9948-5d4118d814f7
6,P0007,Aimericus Golesma de Milhac,PERSON,6386c4cc-3984-4559-a942-718e3d87cc2f
7,P0008,Aladasia d'Engolesme,PERSON,55a8d99f-f74c-4f7d-8f70-f8e5f6cd27df
8,P0009,Alaitz,PERSON,7dc00cd9-1233-4c77-8a75-df46349e96ef
9,P0010,Alaix,PERSON,f931e9cb-a8af-48fa-8ac2-064019532bba
10,P0011,Alazaisia,PERSON,aab6273c-aef5-4f72-8f4c-ec693a8e5fba
11,P0012,Alazais Blanqua,PERSON,774a278d-c1e6-4740-af51-b52480dd3b15
12,P0013,Alazaicis de Laquiebra,PERSON,a168655b-b535-46af-8086-24e7c98b3802
13,P0014,Algaia,PERSON,54baefcf-0b2f-43b2-a530-fc735844b88b
14,P0015,Amalvinus de Fenelor,PERSON,5c049dfe-b634-4200-831d-1d7a429acd1d
15,P0017,Amelia,PERSON,49b79504-9b4d-4583-9d04-c0a527059d14
16,P0018,Amelius Boichel,PERSON,8d8f82ba-01ee-4740-b351-05ed6451cce0
17,P0019,Angelica,PERSON,90c1bf7c-f34b-447d-b8b7-4593b8e9b036
18,P0020,Arnalda,PERSON,fa205a87-1841-4974-a6ba-d996e95b4740
19,P0021,Armandus Olivier,PERSON,c7e6b15e-e74e-441c-8b78-1c89ec280a87
20,P0022,Karlmanda de Balens,PERSON,d7b60bda-e69b-454d-8307-8effc1f08700
21,P0023,Arnaldus,PERSON,f7325d58-619e-478e-9ffb-0a8639f8b336
22,P0024,Arnaldus Bertrandi,PERSON,deef3c16-a0a3-457f-b2de-1744075b3192
23,P0025,Arnaldus Capra,PERSON,c36ed438-1f34-4232-a262-46276b21af7f
24,P0026,Arnaldus Cassa,PERSON,a5a0ef41-81bd-4435-aa1e-5887e7f3b796
25,P0027,Arnaldus Cedus de Godor,PERSON,45d3112a-2391-469d-93c0-a251bdf33c01
26,P0028,Arnaldus Gonducs,PERSON,52df314c-3295-4785-8ae1-74493c7585cb
27,P0029,Arnaldus de Avinione,PERSON,0167b8ca-6892-4e46-9e80-953e8f3ec13c
28,P0030,Arnaldus de Bellopodio,PERSON,b0c76423-c60c-4a80-b993-ca222bec007d
29,P0031,Arnaldus de Castillo,PERSON,f5d9f3d0-8c46-4ddd-a7f1-fa79cd6a01fb
30,P0032,Arnaldus de Lafargua,PERSON,66f222ec-20ad-492a-a599-e432be929a7e
31,P0033,Arnaldus de la Mota,PERSON,d08e9038-28c8-4e52-95a3-027d86b273e9
32,P0034,Arnaus de la Mora,PERSON,9cfa68f0-a050-45e5-94bc-11de5dd30c79
