origin_id,origin_class,origin_label,type_id,type_class,type_label,value_id,value_class,value_label
00c140ce-2f13-420a-a37b-8870654085ed,E,Quoddam dictum fratris Girardi de Novaçano,ccc4c0f8-ad95-40a5-ac78-3a6eccb939c6,C,place in a series,c25982d5-2b5f-49b8-9d2f-99705f065723,V,3
00c140ce-2f13-420a-a37b-8870654085ed,E,Quoddam dictum fratris Girardi de Novaçano,4cd961b5-c512-4dcc-a928-fbaceb7491c1,C,TRP yyyy-mm-dd: during,661a4d70-0ad6-4a8f-8b34-ad2c0e5caa35,V,1300-10-15
00c140ce-2f13-420a-a37b-8870654085ed,E,Quoddam dictum fratris Girardi de Novaçano,53d49b80-f6b7-498f-8050-79db1232e37b,C,SRP in,afc8065d-b84a-4470-ada7-276b06ca992c,L,camera ubi fit officium inquisitionis
00c140ce-2f13-420a-a37b-8870654085ed,E,Quoddam dictum fratris Girardi de Novaçano,2703dbbe-43cf-4bef-bf42-5ae512dd0479,C,legal circumstance,1f0e008d-c111-487a-a7e2-c01aaedf5ea5,C,non-use of judicial torture
00c140ce-2f13-420a-a37b-8870654085ed,E,Quoddam dictum fratris Girardi de Novaçano,2703dbbe-43cf-4bef-bf42-5ae512dd0479,C,legal circumstance,3786211b-26c5-4397-a1c2-a487e19bf7f1,C,non-use of provisional detention
00c140ce-2f13-420a-a37b-8870654085ed,E,Quoddam dictum fratris Girardi de Novaçano,2703dbbe-43cf-4bef-bf42-5ae512dd0479,C,legal circumstance,c98c777f-04a3-4e7a-aae0-2c37a95a1c04,C,summons
00c140ce-2f13-420a-a37b-8870654085ed,E,Quoddam dictum fratris Girardi de Novaçano,2703dbbe-43cf-4bef-bf42-5ae512dd0479,C,legal circumstance,c14e973d-7955-48b9-b783-4af23a7bca5b,C,pledge-making
00c140ce-2f13-420a-a37b-8870654085ed,E,Quoddam dictum fratris Girardi de Novaçano,c774584e-4204-4737-a4a7-70e1396e7679,C,incriminator,1905a9f0-aec9-4559-b1f9-11059fe7239d,P,Girardus de Novaçano
00c140ce-2f13-420a-a37b-8870654085ed,E,Quoddam dictum fratris Girardi de Novaçano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,fe445097-ea4b-46e7-bdaa-53f4a3e9420c,P,Andreas Saramita
00c140ce-2f13-420a-a37b-8870654085ed,E,Quoddam dictum fratris Girardi de Novaçano,1d586a63-5f9d-46a2-b573-6894091bdeee,C,mentioned,1905a9f0-aec9-4559-b1f9-11059fe7239d,P,Girardus de Novaçano
00c140ce-2f13-420a-a37b-8870654085ed,E,Quoddam dictum fratris Girardi de Novaçano,1d586a63-5f9d-46a2-b573-6894091bdeee,C,mentioned,811cb78c-6d03-4d46-9f32-e38fe5149fb7,P,Aydelina de Crimella
00c140ce-2f13-420a-a37b-8870654085ed,E,Quoddam dictum fratris Girardi de Novaçano,838c19ff-0311-4882-afb5-bacf7bcba990,C,denied,4feed6ef-28b9-4340-b191-e3563e38f9ab,P,"Guillelma [Boema, in vita]"
00c140ce-2f13-420a-a37b-8870654085ed,E,Quoddam dictum fratris Girardi de Novaçano,838c19ff-0311-4882-afb5-bacf7bcba990,C,denied,1905a9f0-aec9-4559-b1f9-11059fe7239d,P,Girardus de Novaçano
00c140ce-2f13-420a-a37b-8870654085ed,E,Quoddam dictum fratris Girardi de Novaçano,0489a4c1-8c4a-40d4-b423-d52eb14bbf27,C,person marked as incriminated in a marginal gloss,1905a9f0-aec9-4559-b1f9-11059fe7239d,P,Girardus de Novaçano
00e73c73-8044-4f9f-81b5-55600be84153,P,Maxina de Duglolo,72892176-a0c2-4a09-bd33-2e4aa609243c,C,given name,6fc7abe0-661d-4703-8b4a-3f362738385c,V,Maxina
00e73c73-8044-4f9f-81b5-55600be84153,P,Maxina de Duglolo,1fbf2928-65e7-45d9-8986-d2327195a102,C,surname,3a7f216a-2d1e-40d0-a789-54e457005b2b,V,de Duglolo
00e73c73-8044-4f9f-81b5-55600be84153,P,Maxina de Duglolo,4ce5e669-d421-40c9-b1ce-f476fdd171fe,C,sex,04990e82-c295-4ac6-9d3b-ed7b0c50ba50,C,female
00e73c73-8044-4f9f-81b5-55600be84153,P,Maxina de Duglolo,7b1019a9-80ae-443f-9f34-601c68c1946c,C,location of residence,4afded0b-6888-47df-9723-816955f9e687,L,Cappella S. Iohannis in Monte
00e73c73-8044-4f9f-81b5-55600be84153,P,Maxina de Duglolo,bd52f068-a72f-4eeb-89af-f018b84e5526,C,father,cd1cc855-2ae0-41a7-ae27-9d756ba92294,P,Ubaldinus de Duglolo
013fdb19-6f75-4e90-b453-1278cad55963,L,Caraman,10f5ed8d-4b60-4bf7-a15f-1bb718fa72f6,C,coordinates (lat; long),bff8d9c5-a169-4824-a8b7-1a01636e8e52,V,43.52994; 1.75765
